run,skip_n,bench_type,arch,pol,prec,rec,acc,f1,time
0,1,quality,densenet121,skip,0.5636225651403997,0.5615892062374164,0.6372991350727423,0.5691877845682468,0.0
1,1,quality,densenet121,skip,0.6177586643055907,0.6177651958247875,0.6694840643815738,0.6194842477683842,0.0
2,1,quality,densenet121,skip,0.6883379711611435,0.6884040681362353,0.6912885136949294,0.686452773250809,0.0
3,1,quality,densenet121,skip,0.5636225651403997,0.5615892062374164,0.6372991350727423,0.5691877845682468,0.0
4,1,quality,densenet121,skip,0.6020743738932456,0.6014350703441219,0.6598310477443488,0.6071836727068949,0.0
5,1,quality,densenet121,skip,0.6043511257272958,0.6043581285711144,0.6612956355883177,0.6111606141216599,0.0
6,1,quality,densenet121,skip,0.6817606880849988,0.6817469200640754,0.6935839784441583,0.6822578295553843,0.0
7,1,quality,densenet121,skip,0.6736655704528206,0.6740329235211675,0.6827959708421627,0.6709727708293031,0.0
8,1,quality,densenet121,skip,0.5289653427776373,0.5288596122770907,0.6125200894249341,0.5385195228212399,0.0
9,1,quality,densenet121,skip,0.6696180116367316,0.6692556937974807,0.6752648629312976,0.6653416695407586,0.0
10,1,quality,densenet121,skip,0.6855552744750822,0.685561692677722,0.68713006256955,0.6822886988650477,0.0
11,1,quality,densenet121,skip,0.6395142929420693,0.6402826095424692,0.7005085855567772,0.6511377115638963,0.0
12,1,quality,densenet121,skip,0.6870731090311156,0.6874939725815145,0.6921491227144457,0.6861462190010039,0.0
13,1,quality,densenet121,skip,0.6703769289147483,0.6706498657213649,0.6822886411635988,0.6656045954319583,0.0
14,1,quality,densenet121,skip,0.6896028332911712,0.6896887620305929,0.6911841568607011,0.6882781149059092,0.0
15,1,quality,densenet121,skip,0.6726536807487984,0.6733852479621677,0.6939929835680522,0.6718879118445946,0.0
16,1,quality,densenet121,skip,0.6630407285605869,0.6624992921429713,0.6733577752153422,0.6601069257349783,0.0
17,1,quality,densenet121,skip,0.6696180116367316,0.6692556937974807,0.6752648629312976,0.6653416695407586,0.0
18,1,quality,densenet121,skip,0.6794839362509486,0.6800910234131118,0.6836406380637939,0.6770495837634394,0.0
19,1,quality,densenet121,skip,0.6903617505691879,0.6908538169715465,0.6884160759937993,0.6859507514200547,0.0
20,1,quality,densenet121,skip,0.6020743738932456,0.6014350703441219,0.6598310477443488,0.6071836727068949,0.0
21,1,quality,densenet121,skip,0.6686061219327093,0.6686381452723197,0.6863142000774873,0.6686563732892837,0.0
22,1,quality,densenet121,skip,0.6177586643055907,0.6177651958247875,0.6694840643815738,0.6194842477683842,0.0
23,1,quality,densenet121,skip,0.5289653427776373,0.5288596122770907,0.6125200894249341,0.5385195228212399,0.0
24,1,quality,densenet121,skip,0.6668353149506704,0.6668096730476082,0.6834060238927634,0.6635901681859965,0.0
25,1,quality,densenet121,skip,0.6686061219327093,0.6686381452723197,0.6863142000774873,0.6686563732892837,0.0
26,1,quality,densenet121,skip,0.6726536807487984,0.6733852479621677,0.6939929835680522,0.6718879118445946,0.0
27,1,quality,densenet121,skip,0.6374905135340247,0.6372772072210264,0.6612116775398503,0.6357291796403383,0.0
28,1,quality,densenet121,skip,0.6648115355426258,0.6651469623376647,0.6824539791946214,0.6666317532179648,0.0
29,1,quality,densenet121,skip,0.6410321274981027,0.6406996915456922,0.6854628113892122,0.6443819833077704,0.0
0,2,quality,densenet121,skip,0.4905135340247913,0.4904863646840293,0.6452878802595323,0.5004974027975656,0.0
1,2,quality,densenet121,skip,0.6463445484442196,0.6462765807958397,0.6794098179786978,0.6468222571922654,0.0
2,2,quality,densenet121,skip,0.5352896534277763,0.5348323655260574,0.6462684242207084,0.5407708293613833,0.0
3,2,quality,densenet121,skip,0.3837591702504427,0.3814564805827408,0.6014304265654502,0.37760883812647317,0.0
4,2,quality,densenet121,skip,0.5810776625347837,0.5809293636956572,0.6599146214384785,0.5821216947172273,0.0
5,2,quality,densenet121,skip,0.3948899569946876,0.39460555246472334,0.5698980770462357,0.4193911020778979,0.0
6,2,quality,densenet121,skip,0.558816089046294,0.5586363397818881,0.649522668399672,0.5638837586100143,0.0
7,2,quality,densenet121,skip,0.5836073867948394,0.5821096703084816,0.6348893757429857,0.5845075949066093,0.0
8,2,quality,densenet121,skip,0.6673412598026816,0.6674341137832862,0.680379837161504,0.6640577701625885,0.0
9,2,quality,densenet121,skip,0.6405261826460916,0.6411344159827064,0.6616287656150861,0.6359569347223546,0.0
10,2,quality,densenet121,skip,0.663546673412598,0.6640585370033847,0.6943692361562164,0.665135039853772,0.0
11,2,quality,densenet121,skip,0.43966607639767263,0.43924575611106825,0.6054343751110162,0.4510931287815406,0.0
12,2,quality,densenet121,skip,0.6890968884391602,0.6891897327552426,0.6903623716881262,0.6873945443503695,0.0
13,2,quality,densenet121,skip,0.5874019731849228,0.5873789204819662,0.6724761961619959,0.5946887205969673,0.0
14,2,quality,densenet121,skip,0.6235770301037187,0.6233191312284796,0.6535087698313999,0.6207044878227899,0.0
15,2,quality,densenet121,skip,0.605363015431318,0.6038261829346077,0.6523737397499992,0.603557839438721,0.0
16,2,quality,densenet121,skip,0.5545155578041994,0.5530225645319582,0.6226081562612525,0.5448800378156368,0.0
17,2,quality,densenet121,skip,0.6276245889198078,0.6272475844276506,0.6596867419098544,0.6201040194044006,0.0
18,2,quality,densenet121,skip,0.6278775613458133,0.6270975391948321,0.6539491950052142,0.6287469975285305,0.0
19,2,quality,densenet121,skip,0.6428029344801417,0.6424069380898642,0.6688966756809795,0.6465229185341081,0.0
20,2,quality,densenet121,skip,0.6890968884391602,0.6891897327552426,0.6903623716881262,0.6873945443503695,0.0
21,2,quality,densenet121,skip,0.4166455856311662,0.41575713362526356,0.6137360991275309,0.42134153579120426,0.0
22,2,quality,densenet121,skip,0.6200354161396407,0.6194279172413859,0.673628372748433,0.6160102339318141,0.0
23,2,quality,densenet121,skip,0.48798380976473565,0.48771885535807796,0.5862728922878621,0.4985652037885856,0.0
24,2,quality,densenet121,skip,0.6144700227675184,0.6139674243478371,0.6971542731604432,0.6344300008389692,0.0
25,2,quality,densenet121,skip,0.5459144953200101,0.5442576426311403,0.6449610168994605,0.5620640598418503,0.0
26,2,quality,densenet121,skip,0.5375664052618264,0.5393362110214989,0.6890911921746058,0.5523611919419249,0.0
27,2,quality,densenet121,skip,0.6225651403996965,0.6235506690906434,0.6660318293050331,0.622838237412566,0.0
28,2,quality,densenet121,skip,0.4234758411333165,0.4232112045664179,0.629096279593126,0.4486292637353527,0.0
29,2,quality,densenet121,skip,0.5545155578041994,0.5544389145975737,0.6336330320928338,0.5605311188381087,0.0
0,3,quality,densenet121,skip,0.6299013407538578,0.6299995031140287,0.6667706314570486,0.6258077038606669,0.0
1,3,quality,densenet121,skip,0.3852770048064761,0.3847497014897128,0.6231159216980846,0.3991741885869137,0.0
2,3,quality,densenet121,skip,0.5598279787503162,0.5587683685064294,0.653926284593487,0.5720609795690607,0.0
3,3,quality,densenet121,skip,0.48267138881861876,0.48303477877070866,0.6155622364905855,0.499694686699247,0.0
4,3,quality,densenet121,skip,0.276498861624083,0.2758052378825121,0.5705494848922684,0.2735914859831706,0.0
5,3,quality,densenet121,skip,0.587907918036934,0.5884972930210423,0.6320597900309004,0.5802630295917879,0.0
6,3,quality,densenet121,skip,0.6149759676195294,0.6146837896395322,0.6687521470991269,0.6154426287528367,0.0
7,3,quality,densenet121,skip,0.32279281558310147,0.3201349431954525,0.49063089006843646,0.3144366917901521,0.0
8,3,quality,densenet121,skip,0.3893245636225651,0.3897947759552439,0.5742854914103747,0.38963483982217,0.0
9,3,quality,densenet121,skip,0.5992916772071845,0.5991047549922033,0.6605875476613452,0.6081044287321328,0.0
10,3,quality,densenet121,skip,0.5656463445484442,0.5651103985151957,0.6366909954214052,0.5617579629892241,0.0
11,3,quality,densenet121,skip,0.5841133316468505,0.5846353957915629,0.645855952498586,0.5811363128357112,0.0
12,3,quality,densenet121,skip,0.29774854540855045,0.2972706800569487,0.4812063143270454,0.28550486540735537,0.0
13,3,quality,densenet121,skip,0.29268909688843914,0.29191690460390546,0.5528316832783998,0.29063674984964205,0.0
14,3,quality,densenet121,skip,0.38122944599038705,0.3803677012796198,0.6370587756915829,0.4106442786937161,0.0
15,3,quality,densenet121,skip,0.5003794586390083,0.4994081030635556,0.618320344304097,0.49846751189334737,0.0
16,3,quality,densenet121,skip,0.3842651151024538,0.3828521962566628,0.4966544264176516,0.3670521856819801,0.0
17,3,quality,densenet121,skip,0.5818365798128005,0.5821271040707359,0.6534242522820236,0.5856224974867354,0.0
18,3,quality,densenet121,skip,0.32355173286111816,0.32241624451340567,0.5975167006836741,0.34160378338861624,0.0
19,3,quality,densenet121,skip,0.45863900834809007,0.4587275731154941,0.626089178212377,0.46764702494896115,0.0
20,3,quality,densenet121,skip,0.4351125727295725,0.43420702783938436,0.5982578163949521,0.45312906491608446,0.0
21,3,quality,densenet121,skip,0.6491272451302808,0.649370119747155,0.6670250109836386,0.6458437091691349,0.0
22,3,quality,densenet121,skip,0.6250948646597521,0.6262356236164983,0.663766230419465,0.6213783361307076,0.0
