classifier,arch,acc,prec,rec,f1
1,msdnet10,0.2772577789020997,0.27664612100436753,0.27116531542593403,0.24899529742931178
2,msdnet10,0.25196053630154314,0.25131783244145484,0.216017973219782,0.21110853769832688
3,msdnet10,0.2294459903870478,0.22930645481565048,0.18279684449739503,0.18129020366888424
4,msdnet10,0.26334429547179355,0.2627911383503074,0.23180202727583313,0.22787181075801666
5,msdnet10,0.2937009865924614,0.2930175324840706,0.2643576447858444,0.2634453089632206
6,msdnet10,0.27523399949405514,0.27445926637447615,0.24993056329830324,0.24384163124100605
7,msdnet10,0.2894004553503668,0.2888262511997802,0.26450071815287124,0.2585099913169963
8,msdnet10,0.2317227422210979,0.2314929252310932,0.18458325882281307,0.18123820296565013
9,msdnet10,0.2888945104983557,0.28782690759635693,0.26123333995253606,0.25458530072697255
10,msdnet10,0.2843410068302555,0.2839496437216886,0.2557230510523185,0.2494785027247321
