run,skip_n,bench_type,arch,pol,prec,rec,acc,f1,time
0,1,quality,resnet152,drop-rand-n,0.6134581330634961,0.613674499896856,0.6191591570546859,0.6006704506812491,0.0
1,1,quality,resnet152,drop-rand-n,0.6013154566152289,0.6014627346849454,0.6066358574877324,0.584970644357375,0.0
2,1,quality,resnet152,drop-rand-n,0.6091576018214014,0.6095727040248824,0.6141652976916674,0.5936277361888672,0.0
3,1,quality,resnet152,drop-rand-n,0.6023273463192512,0.6019456538835593,0.6147123506641542,0.5908713629335004,0.0
4,1,quality,resnet152,drop-rand-n,0.4050088540349102,0.4043095653952166,0.5265620729037451,0.40138663461203966,0.0
5,1,quality,resnet152,drop-rand-n,0.6134581330634961,0.6139361505407241,0.6141263188780833,0.5981419046852772,0.0
6,1,quality,resnet152,drop-rand-n,0.05641285099924108,0.0560228616267215,0.060049890479551914,0.031378095547479626,0.0
7,1,quality,resnet152,drop-rand-n,0.6091576018214014,0.6095727040248824,0.6141652976916674,0.5936277361888672,0.0
8,1,quality,resnet152,drop-rand-n,0.6086516569693904,0.6087383486639053,0.6144485694193315,0.5920442846899704,0.0
9,1,quality,resnet152,drop-rand-n,0.6091576018214014,0.6094930107688004,0.609248995871809,0.5929155114982407,0.0
10,1,quality,resnet152,drop-rand-n,0.6200354161396407,0.6198756614297378,0.6216477584848923,0.6115053605352497,0.0
11,1,quality,resnet152,drop-rand-n,0.6015684290412345,0.6018873495952917,0.6076698006969656,0.5866292867402286,0.0
12,1,quality,resnet152,drop-rand-n,0.6038451808752846,0.604152700682155,0.6094039869214949,0.5892533301419336,0.0
13,1,quality,resnet152,drop-rand-n,0.6061219327093347,0.6063690648922322,0.603693195697786,0.5890371830710363,0.0
14,1,quality,resnet152,drop-rand-n,0.6078927396913736,0.6080844142894792,0.6122567665080612,0.5933558375455601,0.0
15,1,quality,resnet152,drop-rand-n,0.6094105742474071,0.6096367411035764,0.6126077690898825,0.5945303361978979,0.0
16,1,quality,resnet152,drop-rand-n,0.16923855299772325,0.1695680537213625,0.3171826400521799,0.159410829601762,0.0
17,1,quality,resnet152,drop-rand-n,0.6000505944852011,0.6001733913409549,0.6054200251964416,0.5852259562761304,0.0
18,1,quality,resnet152,drop-rand-n,0.6144700227675184,0.614775108876104,0.6159387423487346,0.5999846525992798,0.0
19,1,quality,resnet152,drop-rand-n,0.6086516569693904,0.6087528258514416,0.611146698471018,0.591902146080151,0.0
20,1,quality,resnet152,drop-rand-n,0.6225651403996965,0.6229535460151302,0.625054517189955,0.6085969415670311,0.0
21,1,quality,resnet152,drop-rand-n,0.5894257525929674,0.5896504824363509,0.5993520568982296,0.5738230265074783,0.0
22,1,quality,resnet152,drop-rand-n,0.5927143941310398,0.5929665592602247,0.6017882934328534,0.574643461066896,0.0
23,1,quality,resnet152,drop-rand-n,0.6000505944852011,0.5999658593426098,0.6088619115114218,0.586559309055591,0.0
24,1,quality,resnet152,drop-rand-n,0.6086516569693904,0.6087528258514416,0.611146698471018,0.591902146080151,0.0
25,1,quality,resnet152,drop-rand-n,0.6086516569693904,0.6087528258514416,0.611146698471018,0.591902146080151,0.0
26,1,quality,resnet152,drop-rand-n,0.5853781937768783,0.5853053149110639,0.5958027566330655,0.5726874208440051,0.0
27,1,quality,resnet152,drop-rand-n,0.5927143941310398,0.5929665592602247,0.6017882934328534,0.574643461066896,0.0
28,1,quality,resnet152,drop-rand-n,0.4050088540349102,0.4043095653952166,0.5265620729037451,0.40138663461203966,0.0
29,1,quality,resnet152,drop-rand-n,0.6157348848975461,0.6160399591249094,0.6148878690587368,0.6014551502623257,0.0
0,2,quality,resnet152,drop-rand-n,0.3329117126233241,0.33226641087537906,0.5631478222358863,0.3505153337127795,0.0
1,2,quality,resnet152,drop-rand-n,0.6028332911712624,0.602920123642721,0.608352138232048,0.5864685070716265,0.0
2,2,quality,resnet152,drop-rand-n,0.6046040981533013,0.6047077095867296,0.6152391255805869,0.5924988884001389,0.0
3,2,quality,resnet152,drop-rand-n,0.5889198077409562,0.5893807206695991,0.6025914634717385,0.574729604467388,0.0
4,2,quality,resnet152,drop-rand-n,0.5815836073867948,0.5818410270358395,0.6072588835365765,0.5767954278812997,0.0
5,2,quality,resnet152,drop-rand-n,0.6056159878573235,0.6058048749401994,0.6150302844782439,0.592569765392858,0.0
6,2,quality,resnet152,drop-rand-n,0.5944852011130787,0.5946325730510893,0.6026372977546017,0.578413924824539,0.0
7,2,quality,resnet152,drop-rand-n,0.3893245636225651,0.38877247375762575,0.508465212764029,0.38795201142665897,0.0
8,2,quality,resnet152,drop-rand-n,0.26410321274981025,0.26403418258064376,0.5328074561397509,0.2770548200687569,0.0
9,2,quality,resnet152,drop-rand-n,0.5990387047811788,0.5993904554301251,0.6088259878442281,0.5844709181277322,0.0
10,2,quality,resnet152,drop-rand-n,0.5853781937768783,0.5853876450581713,0.5962707301672646,0.572524589999081,0.0
11,2,quality,resnet152,drop-rand-n,0.6043511257272958,0.6046297559065009,0.6056809256152506,0.5868615154739356,0.0
12,2,quality,resnet152,drop-rand-n,0.6147229951935239,0.615029510087236,0.6180518637420531,0.6010109258532127,0.0
13,2,quality,resnet152,drop-rand-n,0.5970149253731343,0.5969067574018805,0.6083989914884509,0.5846294711133162,0.0
14,2,quality,resnet152,drop-rand-n,0.6008095117632178,0.6007485936907645,0.6064411813807938,0.5854449809880855,0.0
15,2,quality,resnet152,drop-rand-n,0.5160637490513534,0.515310219077857,0.5862456932837159,0.516971900955561,0.0
16,2,quality,resnet152,drop-rand-n,0.6134581330634961,0.6132082826982794,0.6158624236604211,0.6007655295146295,0.0
17,2,quality,resnet152,drop-rand-n,0.5479382747280547,0.5482151226683197,0.5781959065928113,0.5389389398067326,0.0
18,2,quality,resnet152,drop-rand-n,0.5944852011130787,0.5946325730510893,0.6026372977546017,0.578413924824539,0.0
19,2,quality,resnet152,drop-rand-n,0.6000505944852011,0.6003186052786221,0.6070212014311934,0.5844876408750549,0.0
20,2,quality,resnet152,drop-rand-n,0.5929673665570453,0.5929953769046628,0.5993854454593418,0.5782649606246526,0.0
21,2,quality,resnet152,drop-rand-n,0.38755375664052616,0.3867909506874701,0.527464794031366,0.3884377018242509,0.0
22,2,quality,resnet152,drop-rand-n,0.38856564634454843,0.3875928448963598,0.5202638534788319,0.3875223577678509,0.0
23,2,quality,resnet152,drop-rand-n,0.5990387047811788,0.5990401086936119,0.6098438758955484,0.5852103863305192,0.0
24,2,quality,resnet152,drop-rand-n,0.6109284088034405,0.6109969575364284,0.6184344543461149,0.5984907554318559,0.0
25,2,quality,resnet152,drop-rand-n,0.5868960283329118,0.5867966209861946,0.5940342553584872,0.5742300427573641,0.0
26,2,quality,resnet152,drop-rand-n,0.5846192764988616,0.5845964292391657,0.6026061280753762,0.5749271907770573,0.0
27,2,quality,resnet152,drop-rand-n,0.5818365798128005,0.5818292822638761,0.5992895009768533,0.5663104128318821,0.0
28,2,quality,resnet152,drop-rand-n,0.6197824437136352,0.6195043798098604,0.6220436400668043,0.6113599493713491,0.0
29,2,quality,resnet152,drop-rand-n,0.3106501391348343,0.3101762994006056,0.5422746974888432,0.32837507950119416,0.0
0,3,quality,resnet152,drop-rand-n,0.5987857323551733,0.598327485675329,0.6130751163651272,0.5859183317310906,0.0
1,3,quality,resnet152,drop-rand-n,0.5739944346066279,0.5741143920513603,0.5936177885450326,0.5640146925653828,0.0
2,3,quality,resnet152,drop-rand-n,0.6035922084492791,0.6038410136973276,0.614047588892972,0.5904150456852639,0.0
3,3,quality,resnet152,drop-rand-n,0.43966607639767263,0.4410570277470411,0.5478423794760598,0.43378496605275235,0.0
4,3,quality,resnet152,drop-rand-n,0.5831014419428282,0.5832722203602173,0.6028634436502965,0.5722288625790545,0.0
