run,skip_n,bench_type,arch,pol,prec,rec,acc,f1,time
0,1,quality,resnet18,drop-last-rand-n,0.48625792811839325,0.48723484848484855,0.6302778148096297,0.49860070187289757,0.0
1,1,quality,resnet18,drop-last-rand-n,0.48625792811839325,0.48723484848484855,0.6302778148096297,0.49860070187289757,0.0
2,1,quality,resnet18,drop-last-rand-n,0.48625792811839325,0.48723484848484855,0.6302778148096297,0.49860070187289757,0.0
3,1,quality,resnet18,drop-last-rand-n,0.48625792811839325,0.48723484848484855,0.6302778148096297,0.49860070187289757,0.0
4,1,quality,resnet18,drop-last-rand-n,0.48625792811839325,0.48723484848484855,0.6302778148096297,0.49860070187289757,0.0
5,1,quality,resnet18,drop-last-rand-n,0.48625792811839325,0.48723484848484855,0.6302778148096297,0.49860070187289757,0.0
6,1,quality,resnet18,drop-last-rand-n,0.48625792811839325,0.48723484848484855,0.6302778148096297,0.49860070187289757,0.0
7,1,quality,resnet18,drop-last-rand-n,0.48625792811839325,0.48723484848484855,0.6302778148096297,0.49860070187289757,0.0
8,1,quality,resnet18,drop-last-rand-n,0.48625792811839325,0.48723484848484855,0.6302778148096297,0.49860070187289757,0.0
9,1,quality,resnet18,drop-last-rand-n,0.48625792811839325,0.48723484848484855,0.6302778148096297,0.49860070187289757,0.0
10,1,quality,resnet18,drop-last-rand-n,0.48625792811839325,0.48723484848484855,0.6302778148096297,0.49860070187289757,0.0
11,1,quality,resnet18,drop-last-rand-n,0.48625792811839325,0.48723484848484855,0.6302778148096297,0.49860070187289757,0.0
12,1,quality,resnet18,drop-last-rand-n,0.48625792811839325,0.48723484848484855,0.6302778148096297,0.49860070187289757,0.0
13,1,quality,resnet18,drop-last-rand-n,0.48625792811839325,0.48723484848484855,0.6302778148096297,0.49860070187289757,0.0
14,1,quality,resnet18,drop-last-rand-n,0.48625792811839325,0.48723484848484855,0.6302778148096297,0.49860070187289757,0.0
15,1,quality,resnet18,drop-last-rand-n,0.48625792811839325,0.48723484848484855,0.6302778148096297,0.49860070187289757,0.0
16,1,quality,resnet18,drop-last-rand-n,0.48625792811839325,0.48723484848484855,0.6302778148096297,0.49860070187289757,0.0
17,1,quality,resnet18,drop-last-rand-n,0.48625792811839325,0.48723484848484855,0.6302778148096297,0.49860070187289757,0.0
18,1,quality,resnet18,drop-last-rand-n,0.48625792811839325,0.48723484848484855,0.6302778148096297,0.49860070187289757,0.0
19,1,quality,resnet18,drop-last-rand-n,0.48625792811839325,0.48723484848484855,0.6302778148096297,0.49860070187289757,0.0
20,1,quality,resnet18,drop-last-rand-n,0.48625792811839325,0.48723484848484855,0.6302778148096297,0.49860070187289757,0.0
21,1,quality,resnet18,drop-last-rand-n,0.48625792811839325,0.48723484848484855,0.6302778148096297,0.49860070187289757,0.0
22,1,quality,resnet18,drop-last-rand-n,0.48625792811839325,0.48723484848484855,0.6302778148096297,0.49860070187289757,0.0
23,1,quality,resnet18,drop-last-rand-n,0.48625792811839325,0.48723484848484855,0.6302778148096297,0.49860070187289757,0.0
24,1,quality,resnet18,drop-last-rand-n,0.48625792811839325,0.48723484848484855,0.6302778148096297,0.49860070187289757,0.0
25,1,quality,resnet18,drop-last-rand-n,0.48625792811839325,0.48723484848484855,0.6302778148096297,0.49860070187289757,0.0
26,1,quality,resnet18,drop-last-rand-n,0.48625792811839325,0.48723484848484855,0.6302778148096297,0.49860070187289757,0.0
27,1,quality,resnet18,drop-last-rand-n,0.48625792811839325,0.48723484848484855,0.6302778148096297,0.49860070187289757,0.0
28,1,quality,resnet18,drop-last-rand-n,0.48625792811839325,0.48723484848484855,0.6302778148096297,0.49860070187289757,0.0
29,1,quality,resnet18,drop-last-rand-n,0.48625792811839325,0.48723484848484855,0.6302778148096297,0.49860070187289757,0.0
0,2,quality,resnet18,drop-last-rand-n,0.1014799154334038,0.10212121212121213,0.13613913928660018,0.0740647693366697,0.0
1,2,quality,resnet18,drop-last-rand-n,0.1014799154334038,0.10212121212121213,0.13613913928660018,0.0740647693366697,0.0
2,2,quality,resnet18,drop-last-rand-n,0.1014799154334038,0.10212121212121213,0.13613913928660018,0.0740647693366697,0.0
3,2,quality,resnet18,drop-last-rand-n,0.1014799154334038,0.10212121212121213,0.13613913928660018,0.0740647693366697,0.0
4,2,quality,resnet18,drop-last-rand-n,0.1014799154334038,0.10212121212121213,0.13613913928660018,0.0740647693366697,0.0
5,2,quality,resnet18,drop-last-rand-n,0.1014799154334038,0.10212121212121213,0.13613913928660018,0.0740647693366697,0.0
6,2,quality,resnet18,drop-last-rand-n,0.1014799154334038,0.10212121212121213,0.13613913928660018,0.0740647693366697,0.0
7,2,quality,resnet18,drop-last-rand-n,0.1014799154334038,0.10212121212121213,0.13613913928660018,0.0740647693366697,0.0
8,2,quality,resnet18,drop-last-rand-n,0.1014799154334038,0.10212121212121213,0.13613913928660018,0.0740647693366697,0.0
9,2,quality,resnet18,drop-last-rand-n,0.1014799154334038,0.10212121212121213,0.13613913928660018,0.0740647693366697,0.0
10,2,quality,resnet18,drop-last-rand-n,0.1014799154334038,0.10212121212121213,0.13613913928660018,0.0740647693366697,0.0
11,2,quality,resnet18,drop-last-rand-n,0.1014799154334038,0.10212121212121213,0.13613913928660018,0.0740647693366697,0.0
