run,skip_n,bench_type,arch,pol,prec,rec,acc,f1,time
0,1,quality,resnet50,drop-norm-n,0.15644820295983086,0.15867424242424244,0.26329672343785243,0.15516033843406354,0.0
1,1,quality,resnet50,drop-norm-n,0.547568710359408,0.5471969696969696,0.5710783162915515,0.527187144702275,0.0
2,1,quality,resnet50,drop-norm-n,0.547568710359408,0.5471969696969697,0.5930161594320003,0.5406442717538934,0.0
3,1,quality,resnet50,drop-norm-n,0.15644820295983086,0.15867424242424244,0.26329672343785243,0.15516033843406354,0.0
4,1,quality,resnet50,drop-norm-n,0.5750528541226215,0.5752651515151516,0.589184593914857,0.5558118648606256,0.0
5,1,quality,resnet50,drop-norm-n,0.5708245243128964,0.5695454545454546,0.5993147497973602,0.5542223992315296,0.0
6,1,quality,resnet50,drop-norm-n,0.5687103594080338,0.5685984848484849,0.5733732500764047,0.5500537228942326,0.0
7,1,quality,resnet50,drop-norm-n,0.42071881606765327,0.4209848484848485,0.4760166430791431,0.4084208428768171,0.0
8,1,quality,resnet50,drop-norm-n,0.5750528541226215,0.5752651515151516,0.589184593914857,0.5558118648606256,0.0
9,1,quality,resnet50,drop-norm-n,0.15644820295983086,0.15867424242424244,0.26329672343785243,0.15516033843406354,0.0
10,1,quality,resnet50,drop-norm-n,0.547568710359408,0.5471969696969697,0.5930161594320003,0.5406442717538934,0.0
11,1,quality,resnet50,drop-norm-n,0.5687103594080338,0.5685984848484849,0.5733732500764047,0.5500537228942326,0.0
12,1,quality,resnet50,drop-norm-n,0.42071881606765327,0.4209848484848485,0.4760166430791431,0.4084208428768171,0.0
13,1,quality,resnet50,drop-norm-n,0.5961945031712473,0.5952651515151516,0.6185975519223602,0.5840173411167158,0.0
14,1,quality,resnet50,drop-norm-n,0.15644820295983086,0.15867424242424244,0.26329672343785243,0.15516033843406354,0.0
15,1,quality,resnet50,drop-norm-n,0.42071881606765327,0.4209848484848485,0.4760166430791431,0.4084208428768171,0.0
16,1,quality,resnet50,drop-norm-n,0.5687103594080338,0.5685984848484849,0.5733732500764047,0.5500537228942326,0.0
17,1,quality,resnet50,drop-norm-n,0.5750528541226215,0.5752651515151516,0.589184593914857,0.5558118648606256,0.0
18,1,quality,resnet50,drop-norm-n,0.42071881606765327,0.4209848484848485,0.4760166430791431,0.4084208428768171,0.0
19,1,quality,resnet50,drop-norm-n,0.5919661733615222,0.592121212121212,0.6248381342170042,0.5789839614909982,0.0
20,1,quality,resnet50,drop-norm-n,0.5687103594080338,0.5685984848484849,0.5733732500764047,0.5500537228942326,0.0
21,1,quality,resnet50,drop-norm-n,0.15644820295983086,0.15867424242424244,0.26329672343785243,0.15516033843406354,0.0
22,1,quality,resnet50,drop-norm-n,0.15644820295983086,0.15867424242424244,0.26329672343785243,0.15516033843406354,0.0
23,1,quality,resnet50,drop-norm-n,0.5708245243128964,0.5695454545454546,0.5993147497973602,0.5542223992315296,0.0
24,1,quality,resnet50,drop-norm-n,0.5750528541226215,0.5752651515151516,0.589184593914857,0.5558118648606256,0.0
25,1,quality,resnet50,drop-norm-n,0.5750528541226215,0.5752651515151516,0.589184593914857,0.5558118648606256,0.0
26,1,quality,resnet50,drop-norm-n,0.5750528541226215,0.5752651515151516,0.589184593914857,0.5558118648606256,0.0
27,1,quality,resnet50,drop-norm-n,0.15644820295983086,0.15867424242424244,0.26329672343785243,0.15516033843406354,0.0
28,1,quality,resnet50,drop-norm-n,0.42071881606765327,0.4209848484848485,0.4760166430791431,0.4084208428768171,0.0
29,1,quality,resnet50,drop-norm-n,0.5708245243128964,0.5695454545454546,0.5993147497973602,0.5542223992315296,0.0
0,2,quality,resnet50,drop-norm-n,0.05919661733615222,0.060227272727272727,0.09955732597716294,0.03911032127593195,0.0
1,2,quality,resnet50,drop-norm-n,0.5095137420718816,0.5101136363636363,0.564410121882948,0.495689323272822,0.0
2,2,quality,resnet50,drop-norm-n,0.5179704016913319,0.5193939393939394,0.5509223201907025,0.5057766545744908,0.0
3,2,quality,resnet50,drop-norm-n,0.09936575052854123,0.09912878787878787,0.10363392857142857,0.07634226462496588,0.0
4,2,quality,resnet50,drop-norm-n,0.4143763213530655,0.4143939393939394,0.5350474743670308,0.4174939272505915,0.0
5,2,quality,resnet50,drop-norm-n,0.3171247357293869,0.3156060606060606,0.4783163268007547,0.31550190030995995,0.0
6,2,quality,resnet50,drop-norm-n,0.3953488372093023,0.3952272727272727,0.48794584072978414,0.3843612966628368,0.0
7,2,quality,resnet50,drop-norm-n,0.3763213530655391,0.37666666666666665,0.5186487203603727,0.36718958589880185,0.0
8,2,quality,resnet50,drop-norm-n,0.5052854122621564,0.5048863636363636,0.5663953580313874,0.49391437197531235,0.0
