run,skip_n,bench_type,arch,pol,prec,rec,acc,f1,time
0,0,speed,densenet121,none,0.0,0.0,0.0,0.0,0.10608775100081402
1,0,speed,densenet121,none,0.0,0.0,0.0,0.0,0.10064721500020823
2,0,speed,densenet121,none,0.0,0.0,0.0,0.0,0.08464598399950773
3,0,speed,densenet121,none,0.0,0.0,0.0,0.0,0.09542843900089792
4,0,speed,densenet121,none,0.0,0.0,0.0,0.0,0.08440854299988132
5,0,speed,densenet121,none,0.0,0.0,0.0,0.0,0.08465301599972008
6,0,speed,densenet121,none,0.0,0.0,0.0,0.0,0.08304635099921143
7,0,speed,densenet121,none,0.0,0.0,0.0,0.0,0.07375681600024109
8,0,speed,densenet121,none,0.0,0.0,0.0,0.0,0.08495207400119398
9,0,speed,densenet121,none,0.0,0.0,0.0,0.0,0.08817860199997085
10,0,speed,densenet121,none,0.0,0.0,0.0,0.0,0.08723398999973142
11,0,speed,densenet121,none,0.0,0.0,0.0,0.0,0.08424861899948155
12,0,speed,densenet121,none,0.0,0.0,0.0,0.0,0.08474807600032364
13,0,speed,densenet121,none,0.0,0.0,0.0,0.0,0.07947429700107023
14,0,speed,densenet121,none,0.0,0.0,0.0,0.0,0.08780707699952472
15,0,speed,densenet121,none,0.0,0.0,0.0,0.0,0.08893709900075919
16,0,speed,densenet121,none,0.0,0.0,0.0,0.0,0.07842153000092367
17,0,speed,densenet121,none,0.0,0.0,0.0,0.0,0.08364817000074254
18,0,speed,densenet121,none,0.0,0.0,0.0,0.0,0.07242673200016725
19,0,speed,densenet121,none,0.0,0.0,0.0,0.0,0.07324397299998964
20,0,speed,densenet121,none,0.0,0.0,0.0,0.0,0.07437115900029312
21,0,speed,densenet121,none,0.0,0.0,0.0,0.0,0.09028073599984054
22,0,speed,densenet121,none,0.0,0.0,0.0,0.0,0.08711788999971759
23,0,speed,densenet121,none,0.0,0.0,0.0,0.0,0.08420043700061797
24,0,speed,densenet121,none,0.0,0.0,0.0,0.0,0.08623839100073383
25,0,speed,densenet121,none,0.0,0.0,0.0,0.0,0.08853861200077517
26,0,speed,densenet121,none,0.0,0.0,0.0,0.0,0.08629779300099472
27,0,speed,densenet121,none,0.0,0.0,0.0,0.0,0.08296806900034426
28,0,speed,densenet121,none,0.0,0.0,0.0,0.0,0.08926067100037471
29,0,speed,densenet121,none,0.0,0.0,0.0,0.0,0.08668009800021537
