run,skip_n,bench_type,arch,pol,prec,rec,acc,f1,time
0,1,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09809453700108861
1,1,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09611425900038739
2,1,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09236821000013151
3,1,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09272547599903191
4,1,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08739642100044875
5,1,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08942379800100753
6,1,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.0849524149998615
7,1,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08624358900124207
8,1,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09127583200097433
9,1,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09406915900035528
10,1,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09291843099890684
11,1,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.10041620099946158
12,1,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.10571808499844337
13,1,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.0971533060001093
14,1,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08963755199874868
15,1,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09486949399979494
16,1,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09507541299899458
17,1,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09359788700021454
18,1,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09290860299915948
19,1,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08948331000101462
20,1,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09388442899944494
21,1,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08140212599937513
22,1,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09786182700008794
23,1,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09032771900092484
24,1,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09680921400104125
25,1,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08953013800055487
26,1,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09672969399980502
27,1,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.0974465710005461
28,1,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09397985900068306
29,1,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.0892299200004345
0,2,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.0843940989998373
1,2,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08818736800094484
2,2,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09822342999905231
3,2,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09023234800042701
4,2,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.0957440879992646
5,2,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.0934982079998008
6,2,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08741709899913985
7,2,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09066573700147273
8,2,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09489226699952269
9,2,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.0996404130000883
10,2,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08810213600008865
11,2,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.081730907999372
12,2,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.1018110599998181
13,2,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.0883964129989181
14,2,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09378495099917927
15,2,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09080567300043185
16,2,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09104648799984716
17,2,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09187432500038994
18,2,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08301776300140773
19,2,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.07978246999846306
20,2,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08792234499924234
21,2,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09006276699983573
22,2,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09485925400076667
23,2,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08829811599935056
24,2,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08501837000039814
25,2,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08995460100049968
26,2,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09047382400058268
27,2,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09165299600135768
28,2,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09944282800097426
29,2,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09354631899986998
0,3,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.07830647700029658
1,3,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08282431699990411
2,3,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09128011999928276
3,3,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08923337600026571
4,3,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09160971300116216
5,3,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08844930300074338
6,3,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.0851360319993546
7,3,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08207675300036499
8,3,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08610500600116211
9,3,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.0769288499996037
10,3,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08568787700096436
11,3,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08530693500142661
12,3,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08688240699848393
13,3,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09172470100020291
14,3,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08023460500044166
15,3,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.07852529200135905
16,3,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08844966300057422
17,3,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.0851080889988225
18,3,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09856977600065875
19,3,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09087603499938268
20,3,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.0891629939997074
21,3,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08952132100057497
22,3,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09538377599892556
23,3,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.07779827599915734
24,3,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08667846099888266
25,3,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08782251599950541
26,3,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.09082672099975753
27,3,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08854001400140987
28,3,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08388066599945887
29,3,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.0916722120000486
0,4,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.07013564299995778
1,4,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.07290537500011851
2,4,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08543067000027804
3,4,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.07251857299888798
4,4,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08406565699988278
5,4,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08532341699901735
6,4,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.082917133000592
7,4,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08368686899848399
8,4,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08747127099923091
9,4,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08262855599969043
10,4,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.07414894799876492
11,4,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08237884399932227
12,4,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08052751099967281
13,4,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.07414654400054133
14,4,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.07391678899875842
15,4,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.07976495600087219
16,4,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08207735299947672
17,4,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08777603799899225
18,4,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.07438239000111935
19,4,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08349319199987804
20,4,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.07340781600032642
21,4,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08003489799921226
22,4,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.0805053690000932
23,4,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08188102100029937
24,4,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08331098800044856
25,4,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.0795832830008294
26,4,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.07645889000013995
27,4,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08491163699909521
28,4,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08046585299962317
29,4,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08095313599915244
0,8,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.07780513800025801
1,8,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08027148499968462
2,8,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.07770502800121903
3,8,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08519375100149773
4,8,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.07531632799873478
5,8,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.07362739100062754
6,8,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.07634351100023196
7,8,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08011603099839704
8,8,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.07276869599991187
9,8,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08230110699878423
10,8,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08107786199980183
11,8,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08111310800086358
12,8,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.07729458200083172
13,8,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08133858500150382
14,8,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.07733008800096286
15,8,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.076770289999331
16,8,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.07585613900118915
17,8,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.0758831100010866
18,8,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.0777830860006361
19,8,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.07757677600056923
20,8,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.06925725000110106
21,8,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.0757039710006211
22,8,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.07717360300011933
23,8,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.079462304000117
24,8,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.07666155299921229
25,8,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.07889368800169905
26,8,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.07984668100107228
27,8,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08162450599957083
28,8,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.07012181600111944
29,8,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.08215278500028944
0,16,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.06524390500089794
1,16,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.06408064399875002
2,16,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.06470747999992454
3,16,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.06465177500103891
4,16,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.06719807300032699
5,16,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.057020150999960606
6,16,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.058529306999844266
7,16,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.06950828600020031
8,16,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.06334410999988904
9,16,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.059086431998366606
10,16,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.060738267999113305
11,16,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.06816682600037893
12,16,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.05954209399897081
13,16,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.06919259799906285
14,16,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.06557261700072559
15,16,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.06526747000134492
16,16,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.0669932559994777
17,16,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.06708717299989075
18,16,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.06433482399916102
19,16,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.06637422299900209
20,16,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.07005553099952522
21,16,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.07005827600005432
22,16,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.06687586400039436
23,16,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.07442487000116671
24,16,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.05852204300026642
25,16,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.06747880399962014
26,16,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.067813218000083
27,16,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.06299692299944581
28,16,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.06698401900030149
29,16,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.0641784990002634
0,32,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.05303365799954918
1,32,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.05032545200083405
2,32,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.04977532100019744
3,32,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.05060083299940743
4,32,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.052663476000816445
5,32,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.05250986499959254
6,32,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.05274142300004314
7,32,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.06607943599919963
8,32,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.053031471999929636
9,32,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.05347901999994065
10,32,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.050623786000869586
11,32,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.05060924799909117
12,32,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.05410351200043806
13,32,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.0524137240008713
14,32,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.05317881199880503
15,32,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.05217400999936217
16,32,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.05213321199880738
17,32,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.05926512000041839
18,32,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.05570902900035435
19,32,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.06114317399988067
20,32,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.05310723599905032
21,32,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.055956828999114805
22,32,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.05874731999938376
23,32,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.05586145799861697
24,32,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.05714824300048349
25,32,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.05713138200007961
26,32,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.05167598699881637
27,32,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.05376317700029176
28,32,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.0508411779992457
29,32,speed,densenet121,skip-last-n-block,0.0,0.0,0.0,0.0,0.05643188700014434
