run,skip_n,bench_type,arch,pol,prec,rec,acc,f1,time
0,1,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.09487319199979538
1,1,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.09605910300160758
2,1,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.09015523700145422
3,1,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.08368185500148684
4,1,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.08333225900059915
5,1,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.07298285000069882
6,1,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.08070419900104753
7,1,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.07965175999925123
8,1,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.09420513299846789
9,1,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.0902017420012271
10,1,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.07387466599902837
11,1,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.08671696599776624
12,1,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.07828560499910964
13,1,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.08701204700264498
14,1,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.08266035199994803
15,1,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.0937848280009348
16,1,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.08257831300215912
17,1,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.08021355599703384
18,1,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.08086935500250547
19,1,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.08574993799993536
20,1,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.07316164099756861
21,1,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.06939211500139209
22,1,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.0835715249995701
23,1,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.08443293399977847
24,1,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.09175932899961481
25,1,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.07605401199907647
26,1,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.07046151200120221
27,1,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.07806449299823726
28,1,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.09087372900103219
29,1,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.09329599600096117
0,2,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.07981963600104791
1,2,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.089295558998856
2,2,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.08858697799951187
3,2,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.08977454900013981
4,2,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.08499590999781503
5,2,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.08509466899704421
6,2,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.08435920500050997
7,2,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.08379203399817925
8,2,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.0773117930002627
9,2,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.07112164299905999
10,2,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.07758985100008431
11,2,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.07435096699919086
12,2,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.09244153799954802
13,2,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.08666601799995988
14,2,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.07487789900187636
15,2,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.0738180590014963
16,2,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.07462385300095775
17,2,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.09453723899787292
18,2,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.08465536299991072
19,2,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.08449262199792429
20,2,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.08591759699993418
21,2,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.08765751400278532
22,2,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.07214602800013381
23,2,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.0683985350005969
24,2,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.09056606399826705
25,2,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.0742412500003411
26,2,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.0788532899969141
27,2,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.07214415199996438
28,2,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.10029227999984869
29,2,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.08549868400223204
0,3,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.09179189700080315
1,3,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.08226116199875833
2,3,speed,densenet121,skip-last,0.0,0.0,0.0,0.0,0.08858462300122483
