run,skip_n,bench_type,arch,pol,prec,rec,acc,f1,time
0,1,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.10821946199939703
1,1,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09491865900054108
2,1,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.08743582799979777
3,1,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09616490799999156
4,1,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09114054900055635
5,1,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.08765792800113559
6,1,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09234133199970529
7,1,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.10138958600145997
8,1,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09018338799978665
9,1,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.08881499900053313
10,1,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.08872938599961344
11,1,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09546299999965413
12,1,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.08823813599883579
13,1,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09611079600108496
14,1,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09737249399950088
15,1,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09017784699972253
16,1,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.08817773099872284
17,1,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09114956600024016
18,1,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.10378482899977826
19,1,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09160656099993503
20,1,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.08895395099898451
21,1,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09494826499940245
22,1,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.10129959499863617
23,1,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09248879000006127
24,1,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.10922223899979144
25,1,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09425026400094794
26,1,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09081853899988346
27,1,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.08654786700026307
28,1,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.08788854399972479
29,1,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09240429000055883
0,2,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09182884199981345
1,2,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.07597544800046308
2,2,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.07618894200095383
3,2,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.08731436699963524
4,2,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09071914200103492
5,2,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09814833199925488
6,2,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09560705100011546
7,2,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.08778736299973389
8,2,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.0869041810001363
9,2,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.08287104800001543
10,2,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.11582341200119117
11,2,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09926779000124952
12,2,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.1086033880001196
13,2,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.1042532850005955
14,2,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09675527499894088
15,2,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.10204108799916867
16,2,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.08400411199909286
17,2,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.08474129800015362
18,2,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.08392664600069111
19,2,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.07729382300021825
20,2,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09270639200076403
21,2,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.0857676209998317
22,2,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.08046001500042621
23,2,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09132439700078976
24,2,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.08495382999899448
25,2,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.08641611699931673
26,2,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.0879590870008542
27,2,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.08281822799835936
28,2,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.0935561010010133
29,2,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09404890299992985
0,3,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09074475899979006
1,3,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.0982233320009982
2,3,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09289507900030003
3,3,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09282364400132792
4,3,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.08287612700041791
5,3,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.08687061700038612
6,3,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.0943958379994001
7,3,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.0942721060000622
8,3,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09323675499945239
9,3,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09916558599979908
10,3,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.08726274000036938
11,3,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09429040000031819
12,3,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.08921188800013624
13,3,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.08597051299875602
14,3,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.07963504300096247
15,3,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.08965495599841233
16,3,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09182984300059616
17,3,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.08818750899990846
18,3,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09204622200013546
19,3,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.08973065999998653
20,3,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09306889700019383
21,3,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09177870599887683
22,3,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.08766904900039663
23,3,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09571919299924048
24,3,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.08668637799928547
25,3,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09718749199964805
26,3,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.0909897630008345
27,3,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.0918810700004542
28,3,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09083840599851101
29,3,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.08467715599908843
0,4,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.07538944800035097
1,4,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09098728799835953
2,4,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.08221807299923967
3,4,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.08886310799971398
4,4,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09524190999945858
5,4,speed,densenet121,skip-norm-n,0.0,0.0,0.0,0.0,0.09223078200011514
