run,skip_n,bench_type,arch,pol,prec,rec,acc,f1,time
0,1,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.08979917799842951
1,1,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.09148150799956056
2,1,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.08582721799939463
3,1,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.09381548999954248
4,1,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.08365827899979195
5,1,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.0881052050008293
6,1,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.08551755400003458
7,1,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.08721858900025836
8,1,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.08385405899934995
9,1,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.08281009600068501
10,1,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.09005607300059637
11,1,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.08273461199860321
12,1,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.08652058000006946
13,1,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.08860501100025431
14,1,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.09372254499976407
15,1,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.0890548610004771
16,1,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.08527122700070322
17,1,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.0875380329998734
18,1,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.10602356900017185
19,1,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.09543047300030594
20,1,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.09302557699993486
21,1,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.08548786799838126
22,1,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.08115928500046721
23,1,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.08355450300041412
24,1,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.08702804799941077
25,1,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.0898568869997689
26,1,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.10248327600129414
27,1,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.08360525799980678
28,1,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.11066039400066074
29,1,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.08806940800059238
0,2,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.0868639689997508
1,2,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.07319669200114731
2,2,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.08650303699869255
3,2,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.09029233999899589
4,2,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.08497440700011794
5,2,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.07515350200083049
6,2,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.06989313700069033
7,2,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.07093553800041263
8,2,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.07876257499992789
9,2,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.08414330699997663
10,2,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.08862283499911427
11,2,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.08706439900197438
12,2,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.09315811800115625
13,2,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.09247194999989006
14,2,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.09306963999915752
15,2,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.08487806499761064
16,2,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.0841018979990622
17,2,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.08333116100038751
18,2,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.08827446599752875
19,2,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.08191217900093761
20,2,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.07409985999765922
21,2,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.0691753510000126
22,2,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.0863361720003013
23,2,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.0966594769997755
24,2,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.09211028800200438
25,2,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.09057230000325944
26,2,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.08752730400010478
27,2,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.09239451499888673
28,2,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.08635183099977439
29,2,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.08295612200163305
0,3,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.10713300700081163
1,3,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.08371081900259014
2,3,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.09606652100046631
3,3,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.08573508199697244
4,3,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.09571127399976831
5,3,speed,densenet121,skip,0.0,0.0,0.0,0.0,0.08217457299906528
