run,skip_n,bench_type,arch,pol,prec,rec,acc,f1,time
0,1,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.3084235770002124
1,1,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.3604484280003817
2,1,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.35492398100177525
3,1,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.291210195999156
4,1,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.28420749599899864
5,1,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.37938654200115707
6,1,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.3199567060000845
7,1,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.2952274599992961
8,1,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.2580859090012382
9,1,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.33166733299731277
10,1,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.33333459699861123
11,1,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.29896234199986793
12,1,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.3540265260016895
13,1,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.3576641360014037
14,1,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.23660542799916584
15,1,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.2317487729997083
16,1,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.31435948900252697
17,1,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.2167877630017756
18,1,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.28498512399892206
19,1,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.24529283499941812
20,1,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.3618471170011617
21,1,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.36603910100166104
22,1,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.24932984100087197
23,1,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.3029290270023921
24,1,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.21157451500039315
25,1,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.22877445599806379
26,1,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.35631908499999554
27,1,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.20916314400164993
28,1,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.2860885160007456
29,1,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.24716248500044458
0,2,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.23992426400218392
1,2,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.34889338100038003
2,2,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.2747039589994529
3,2,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.2503124260001641
4,2,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.1835825289999775
5,2,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.1627452840002661
6,2,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.26215174900062266
7,2,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.34891213000082644
8,2,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.2836233730013191
9,2,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.1866194659996836
10,2,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.20018219800113002
11,2,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.206780180997157
12,2,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.233808451997902
13,2,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.2017966039966268
14,2,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.29631792299915105
15,2,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.33805877300255815
16,2,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.3406725989989354
17,2,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.3082776000010199
18,2,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.2048082679975778
19,2,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.30579090799801634
20,2,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.2626000460004434
21,2,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.25991757699739537
22,2,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.18068677600240335
23,2,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.2784966129984241
24,2,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.22116611400269903
25,2,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.2757865169987781
26,2,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.20049513499907334
27,2,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.20753747299750103
28,2,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.1937475960003212
29,2,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.19115521799903945
0,3,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.14733981500103255
1,3,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.15474645500216866
2,3,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.20471291399735492
3,3,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.1777386479989218
4,3,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.1837513470018166
5,3,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.19753472600132227
6,3,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.22691802099870984
7,3,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.14841712599809398
8,3,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.2533888370016939
9,3,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.133724555002118
10,3,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.17031791499903193
11,3,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.1871217340012663
12,3,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.1803280599997379
13,3,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.14181620399904205
14,3,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.2781201050020172
15,3,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.26634091300002183
16,3,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.2479799600005208
17,3,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.30062605800048914
18,3,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.22409777999928338
19,3,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.21721580599842127
20,3,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.1834188550019462
21,3,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.2943140110000968
22,3,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.25327131700032623
23,3,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.26087149899831275
24,3,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.22193894700103556
25,3,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.15063869900041027
26,3,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.2082104889996117
27,3,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.23835823999979766
28,3,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.2176573320030002
29,3,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.1538025780027965
0,4,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.16693090199987637
1,4,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.1349730969996017
2,4,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.13971737400061102
3,4,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.11670005500127445
4,4,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.18863942900134134
5,4,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.15628240699879825
6,4,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.1624274770001648
7,4,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.1361842739970598
8,4,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.1169253000007302
9,4,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.1448924550022639
10,4,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.1488701639973442
11,4,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.1276062200013257
12,4,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.21025448399814195
13,4,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.1740950570019777
14,4,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.19819771600305103
15,4,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.23541407999800867
16,4,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.21515222800007905
17,4,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.19496369500120636
18,4,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.2448095830004604
19,4,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.19241336499908357
20,4,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.12892287399881752
21,4,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.12975354100126424
22,4,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.2138150989994756
23,4,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.14317540000047302
24,4,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.1881928680013516
25,4,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.21031470299931243
26,4,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.1640290810028091
27,4,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.12515772199913044
28,4,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.14641556499918806
29,4,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.13115260400081752
0,8,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.014590099002816714
1,8,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.014388446001248667
2,8,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.017543902999022976
3,8,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.018256919000123162
4,8,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.01727594499971019
5,8,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.018015159999777097
6,8,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.01730957800100441
7,8,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.01633736000076169
8,8,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.01471706099982839
9,8,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.016193005998502485
10,8,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.017293476998020196
11,8,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.014778086999285733
12,8,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.017873820001113927
13,8,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.01830497899936745
14,8,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.0183735999999044
15,8,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.015390730997751234
16,8,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.017808685999625595
17,8,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.017785912001272663
18,8,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.01739928800088819
19,8,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.01681741299762507
20,8,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.01666651599953184
21,8,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.01747632499973406
22,8,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.017261606000829488
23,8,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.017052950002835132
24,8,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.018213796000054572
25,8,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.016815107999718748
26,8,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.01635300899943104
27,8,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.01905364300182555
28,8,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.01778825699875597
29,8,speed,resnet18,drop-rand-n,0.0,0.0,0.0,0.0,0.018283989000337897
