run,skip_n,bench_type,arch,pol,prec,rec,acc,f1,time
0,1,speed,resnet34,drop-norm-n,0.0,0.0,0.0,0.0,0.30449330480769277
1,1,speed,resnet34,drop-norm-n,0.0,0.0,0.0,0.0,0.31452892627567053
2,1,speed,resnet34,drop-norm-n,0.0,0.0,0.0,0.0,0.31707352865487337
3,1,speed,resnet34,drop-norm-n,0.0,0.0,0.0,0.0,0.31984154507517815
4,1,speed,resnet34,drop-norm-n,0.0,0.0,0.0,0.0,0.3150413688272238
5,1,speed,resnet34,drop-norm-n,0.0,0.0,0.0,0.0,0.31955739902332425
6,1,speed,resnet34,drop-norm-n,0.0,0.0,0.0,0.0,0.322774906642735
7,1,speed,resnet34,drop-norm-n,0.0,0.0,0.0,0.0,0.3020544252358377
8,1,speed,resnet34,drop-norm-n,0.0,0.0,0.0,0.0,0.3167121182195842
9,1,speed,resnet34,drop-norm-n,0.0,0.0,0.0,0.0,0.26091222930699587
10,1,speed,resnet34,drop-norm-n,0.0,0.0,0.0,0.0,0.26173429004848003
11,1,speed,resnet34,drop-norm-n,0.0,0.0,0.0,0.0,0.2657744702883065
12,1,speed,resnet34,drop-norm-n,0.0,0.0,0.0,0.0,0.2718614749610424
13,1,speed,resnet34,drop-norm-n,0.0,0.0,0.0,0.0,0.26950638508424163
14,1,speed,resnet34,drop-norm-n,0.0,0.0,0.0,0.0,0.26768565736711025
15,1,speed,resnet34,drop-norm-n,0.0,0.0,0.0,0.0,0.25528026511892676
16,1,speed,resnet34,drop-norm-n,0.0,0.0,0.0,0.0,0.26061127288267016
17,1,speed,resnet34,drop-norm-n,0.0,0.0,0.0,0.0,0.28339748783037066
18,1,speed,resnet34,drop-norm-n,0.0,0.0,0.0,0.0,0.22667826805263758
19,1,speed,resnet34,drop-norm-n,0.0,0.0,0.0,0.0,0.2300358759239316
20,1,speed,resnet34,drop-norm-n,0.0,0.0,0.0,0.0,0.2737057190388441
21,1,speed,resnet34,drop-norm-n,0.0,0.0,0.0,0.0,0.2636188976466656
