run,skip_n,bench_type,arch,pol,prec,rec,acc,f1,time
0,1,speed,resnet50,drop-last-rand-n,0.0,0.0,0.0,0.0,1.1096118759996898
1,1,speed,resnet50,drop-last-rand-n,0.0,0.0,0.0,0.0,1.13150950400086
2,1,speed,resnet50,drop-last-rand-n,0.0,0.0,0.0,0.0,1.2018096640022122
3,1,speed,resnet50,drop-last-rand-n,0.0,0.0,0.0,0.0,1.2395160880005278
4,1,speed,resnet50,drop-last-rand-n,0.0,0.0,0.0,0.0,1.1043040939985076
5,1,speed,resnet50,drop-last-rand-n,0.0,0.0,0.0,0.0,1.1893942300011986
6,1,speed,resnet50,drop-last-rand-n,0.0,0.0,0.0,0.0,1.0516996549995383
7,1,speed,resnet50,drop-last-rand-n,0.0,0.0,0.0,0.0,1.0517433200002415
8,1,speed,resnet50,drop-last-rand-n,0.0,0.0,0.0,0.0,1.1269641330000013
9,1,speed,resnet50,drop-last-rand-n,0.0,0.0,0.0,0.0,1.0102722299998277
10,1,speed,resnet50,drop-last-rand-n,0.0,0.0,0.0,0.0,1.0384802150001633
11,1,speed,resnet50,drop-last-rand-n,0.0,0.0,0.0,0.0,0.944219682001858
12,1,speed,resnet50,drop-last-rand-n,0.0,0.0,0.0,0.0,1.0689752180005598
13,1,speed,resnet50,drop-last-rand-n,0.0,0.0,0.0,0.0,1.016585125002166
14,1,speed,resnet50,drop-last-rand-n,0.0,0.0,0.0,0.0,1.0597805510005855
15,1,speed,resnet50,drop-last-rand-n,0.0,0.0,0.0,0.0,0.9716052000003401
16,1,speed,resnet50,drop-last-rand-n,0.0,0.0,0.0,0.0,1.091254275997926
17,1,speed,resnet50,drop-last-rand-n,0.0,0.0,0.0,0.0,1.1573018909984967
18,1,speed,resnet50,drop-last-rand-n,0.0,0.0,0.0,0.0,1.156269366001652
19,1,speed,resnet50,drop-last-rand-n,0.0,0.0,0.0,0.0,0.9863629669998772
20,1,speed,resnet50,drop-last-rand-n,0.0,0.0,0.0,0.0,0.9581073489971459
21,1,speed,resnet50,drop-last-rand-n,0.0,0.0,0.0,0.0,0.9483820259993081
22,1,speed,resnet50,drop-last-rand-n,0.0,0.0,0.0,0.0,1.2181794280004397
