run,skip_n,bench_type,arch,pol,prec,rec,acc,f1,time
0,1,speed,resnet50,none,0.0,0.0,0.0,0.0,0.9252820760011673
1,1,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8406358808279037
2,1,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8381672259420156
3,1,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8525584349408746
4,1,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8515153736807406
5,1,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8303161500953138
6,1,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8488580486737192
7,1,speed,resnet50,none,0.0,0.0,0.0,0.0,0.7882230659015477
8,1,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8591424939222634
9,1,speed,resnet50,none,0.0,0.0,0.0,0.0,0.7988715269602835
10,1,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8439874839968979
11,1,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8382292231544852
12,1,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8488528900779784
13,1,speed,resnet50,none,0.0,0.0,0.0,0.0,0.827610014937818
14,1,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8727413890883327
15,1,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8083437313325703
16,1,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8085342762060463
17,1,speed,resnet50,none,0.0,0.0,0.0,0.0,0.767845505848527
18,1,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8609399199485779
19,1,speed,resnet50,none,0.0,0.0,0.0,0.0,0.7621833709999919
20,1,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8361112121492624
21,1,speed,resnet50,none,0.0,0.0,0.0,0.0,0.7850333340466022
22,1,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8154260870069265
23,1,speed,resnet50,none,0.0,0.0,0.0,0.0,0.866482628043741
24,1,speed,resnet50,none,0.0,0.0,0.0,0.0,0.9135810108855367
25,1,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8612837130203843
26,1,speed,resnet50,none,0.0,0.0,0.0,0.0,0.810529924929142
27,1,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8014800306409597
28,1,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8441348727792501
29,1,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8102229400537908
0,2,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8118615113198757
1,2,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8366920361295342
2,2,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8679898506961763
3,2,speed,resnet50,none,0.0,0.0,0.0,0.0,0.813175339717418
4,2,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8609640072099864
5,2,speed,resnet50,none,0.0,0.0,0.0,0.0,0.859015207272023
6,2,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8681570650078356
7,2,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8716359715908766
8,2,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8602216048166156
9,2,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8907221788540483
10,2,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8643489619717002
11,2,speed,resnet50,none,0.0,0.0,0.0,0.0,0.9148046346381307
12,2,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8171598738990724
13,2,speed,resnet50,none,0.0,0.0,0.0,0.0,0.7895013000816107
14,2,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8269867729395628
15,2,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8327283607795835
16,2,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8368921237997711
17,2,speed,resnet50,none,0.0,0.0,0.0,0.0,0.820599865168333
18,2,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8573487368412316
19,2,speed,resnet50,none,0.0,0.0,0.0,0.0,0.7820599041879177
20,2,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8988406956195831
21,2,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8025755472481251
22,2,speed,resnet50,none,0.0,0.0,0.0,0.0,0.7861624080687761
23,2,speed,resnet50,none,0.0,0.0,0.0,0.0,0.766831579618156
24,2,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8180012069642544
25,2,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8182718199677765
26,2,speed,resnet50,none,0.0,0.0,0.0,0.0,0.7954980577342212
27,2,speed,resnet50,none,0.0,0.0,0.0,0.0,0.7896534050814807
28,2,speed,resnet50,none,0.0,0.0,0.0,0.0,0.6811771709471941
29,2,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8286008611321449
0,3,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8266742150299251
1,3,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8900952278636396
2,3,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8747515678405762
3,3,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8919128240086138
4,3,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8511061882600188
5,3,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8593949726782739
6,3,speed,resnet50,none,0.0,0.0,0.0,0.0,0.8401897326111794
